Transceiver,RS422   RS485,1/1,Full,70mV,2.5Mbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Through Hole,24-DIP (0.600"   15.24mm),24-PDIP
Transceiver,RS422   RS485,1/1,Full,70mV,250kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Through Hole,24-DIP (0.600"   15.24mm),24-PDIP
Transceiver,RS232,2/2,Full,500mV,120Kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Transceiver,RS232,2/2,Full,500mV,120Kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SO
Transceiver,RS232,2/2,Full,500mV,120Kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SO
Transceiver,RS232,2/2,Full,500mV,120Kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Transceiver,RS232,4/4,Full,500mV,120Kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,24-SSOP (0.209"   5.30mm Width),24-SSOP
Transceiver,RS232,4/5,Full,500mV,120Kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,28-SSOP (0.209"   5.30mm Width),28-SSOP
Transceiver,RS232,4/5,Full,500mV,120Kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,28-SSOP (0.209"   5.30mm Width),28-SSOP
Transceiver,RS232,4/5,Full,500mV,120Kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,28-SSOP (0.209"   5.30mm Width),28-SSOP
Transceiver,RS232,4/5,Full,500mV,120Kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,28-SOIC (0.295"   7.50mm Width),28-SOIC
Transceiver,RS232,4/5,Full,500mV,250kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,28-SSOP (0.209"   5.30mm Width),28-SSOP
Transceiver,RS232,5/5,Full,500mV,250kbps,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,28-SOIC (0.295"   7.50mm Width),28-SOIC
Transceiver,RS232,5/5,Full,500mV,250kbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,28-SOIC (0.295"   7.50mm Width),28-SOIC
Transceiver,RS232,2/2,Full,500mV,200kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Transceiver,RS232,2/2,Full,500mV,200kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Transceiver,RS232,2/2,Full,500mV,200kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Transceiver,RS232,2/2,Full,500mV,200kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Transceiver,RS232,2/2,Full,500mV,120Kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Transceiver,RS232,2/2,Full,500mV,250kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Transceiver,RS232,2/2,Full,500mV,120Kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Transceiver,RS232,2/2,Full,500mV,120Kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SO
Transceiver,RS232,2/2,Full,500mV,120Kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Transceiver,RS232,2/2,Full,500mV,120Kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Transceiver,RS232,2/2,Full,500mV,120Kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Transceiver,RS232,2/2,Full,500mV,120Kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Transceiver,RS232,2/2,Full,500mV,120Kbps,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Transceiver,RS232,2/2,Full,500mV,120Kbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Transceiver,RS232,2/2,Full,500mV,120Kbps,4.75 V ~ 5.25 V,0°C ~ 70°C,Through Hole,20-DIP (0.300"   7.62mm),20-PDIP
Transceiver,RS232,2/2,Full,500mV,120Kbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Through Hole,20-DIP (0.300"   7.62mm),20-PDIP
Transceiver,RS232,4/4,Full,500mV,120Kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Through Hole,24-DIP (0.300"   7.62mm),24-PDIP
Transceiver,RS232,4/4,Full,500mV,120Kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,24-SOIC (0.295"   7.50mm Width),24-SOIC
Transceiver,RS232,3/5,Full,500mV,120Kbps,5 V   7.5 V ~ 13.2 V,0°C ~ 70°C,Surface Mount,24-SOIC (0.295"   7.50mm Width),24-SOIC
Driver,RS422   RS485,4/0,-,-,20Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Driver,RS422   RS485,4/0,-,-,20Mbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Transceiver,RS422   RS485,1/1,Half,100mV,250kbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,100mV,16Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,100mV,16Mbps,3 V ~ 3.6 V,-40°C ~ 125°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Transceiver,RS422   RS485,1/1,Half,100mV,115Kbps,4.75 V ~ 5.25 V,0°C ~ 70°C,Through Hole,8-DIP (0.300"   7.62mm),8-PDIP
Receiver,RS422   RS485,0/4,-,45mV,10Mbps,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SO
Receiver,RS422   RS485,0/4,-,45mV,10Mbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Receiver,RS422   RS485,0/4,-,45mV,10Mbps,3 V ~ 3.6 V,0°C ~ 70°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Receiver,RS422   RS485,0/4,-,45mV,10Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Receiver,RS422   RS485,0/3,-,40mV,32Mbps,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Transceiver,RS232   RS422   RS485,2/2,Full,500mV,10Mbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,24-SSOP (0.209"   5.30mm Width),24-SSOP
Transceiver,RS232   RS422   RS485,2/2,Full,500mV,10Mbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,24-SSOP (0.209"   5.30mm Width),24-SSOP
Transceiver,RS232,1/1,Full,500mV,250kbps,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Transceiver,RS232,1/1,Full,500mV,250kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Transceiver,RS232,1/1,Full,500mV,250kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Transceiver,RS232,2/2,Full,300mV,120Kbps,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,20-SSOP (0.209"   5.30mm Width),20-SSOP
Transceiver,RS232,2/2,Full,300mV,120Kbps,3 V ~ 5.5 V,0°C ~ 70°C,Through Hole,20-DIP (0.300"   7.62mm),20-PDIP
Transceiver,RS232,2/2,Full,300mV,120Kbps,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Transceiver,RS232,2/2,Full,300mV,120Kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,20-SSOP (0.209"   5.30mm Width),20-SSOP
Transceiver,RS232,2/2,Full,300mV,120Kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,20-SSOP (0.209"   5.30mm Width),20-SSOP
Transceiver,RS232,2/2,Full,300mV,250kbps,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Transceiver,RS232,2/2,Full,300mV,235Kbps,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Transceiver,RS232,2/2,Full,500mV,1Mbps,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SSOP (0.209"   5.30mm Width),16-SSOP
Transceiver,RS232,2/2,Full,500mV,1Mbps,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Transceiver,RS232,2/2,Full,300mV,250kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Transceiver,RS232,2/2,Full,300mV,120Kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SO
Transceiver,RS232,2/2,Full,300mV,120Kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Transceiver,RS232,2/2,Full,300mV,120Kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Transceiver,RS232,2/2,Full,300mV,250kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Transceiver,RS232,2/2,Full,300mV,250kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SSOP (0.209"   5.30mm Width),16-SSOP
Transceiver,RS232,2/2,Full,300mV,250kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Transceiver,RS232,2/2,Full,500mV,250kbps,3 V ~ 3.6 V,0°C ~ 70°C,Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Transceiver,RS232,2/2,Full,500mV,250kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Through Hole,20-DIP (0.300"   7.62mm),20-PDIP
Transceiver,RS232,5/3,Full,300mV,250kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,28-SSOP (0.209"   5.30mm Width),28-SSOP
Transceiver,RS232,3/5,Full,500mV,250kbps,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,28-SSOP (0.209"   5.30mm Width),28-SSOP
Transceiver,RS232,3/5,Full,500mV,250kbps,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,28-TSSOP (0.173"   4.40mm Width),28-TSSOP
Transceiver,RS232,3/5,Full,500mV,250kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,28-SOIC (0.295"   7.50mm Width),20-SO
Transceiver,RS232,3/5,Full,300mV,235Kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,28-TSSOP (0.173"   4.40mm Width),28-TSSOP
Transceiver,RS232,3/5,Full,300mV,120Kbps,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,28-SSOP (0.209"   5.30mm Width),28-SSOP
Transceiver,RS232,3/5,Full,500mV,250kbps,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,28-TSSOP (0.173"   4.40mm Width),28-TSSOP
Transceiver,RS232,3/5,Full,300mV,120Kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,28-SSOP (0.209"   5.30mm Width),28-SSOP
Transceiver,RS232,3/5,Full,500mV,500kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,28-TSSOP (0.173"   4.40mm Width),28-TSSOP
Receiver,RS422   RS485,0/1,-,25mV,52Mbps,3 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,SOT-23-6,SOT-23-6
Driver,RS422   RS485,1/0,-,-,250kbps,3.135 V ~ 3.465 V,-40°C ~ 125°C,Surface Mount,SOT-23-6,SOT-23-6
Driver,RS422   RS485,1/0,-,-,20Mbps,3.135 V ~ 3.465 V,-40°C ~ 125°C,Surface Mount,SOT-23-6,SOT-23-6
Transceiver,RS422   RS485,1/1,Half,50mV,20Mbps,3.14 V ~ 3.47 V,-40°C ~ 125°C,Surface Mount,SOT-23-8,SOT-23-8
Transceiver,RS232,2/2,Full,300mV,460Kbps,2.4 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Transceiver,RS232,3/3,Full,500mV,250kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,24-TSSOP (0.173"   4.40mm Width),24-TSSOP
Transceiver,RS422   RS485,1/1,Half,25mV,250kbps,4.75 V ~ 5.25 V,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,50mV,40Mbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,32mV,64Kbps,2.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,8-TSSOP   8-MSOP (0.118"   3.00mm Width),8-uMAX
Transceiver,RS422   RS485,1/1,Full,50mV,10Mbps,3 V ~ 3.6 V,0°C ~ 70°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,50mV,10Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,50mV,10Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Receiver,-,0/3,-,-,-,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SSOP (0.154"   3.90mm Width),16-QSOP
Transceiver,RS422   RS485,1/1,Half,70mV,250kbps,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,70mV,250kbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,70mV,2.5Mbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,70mV,250kbps,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,70mV,250kbps,4.75 V ~ 5.25 V,0°C ~ 70°C,Through Hole,8-DIP (0.300"   7.62mm),8-PDIP
Transceiver,RS422   RS485,1/1,Half,70mV,250kbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,70mV,250kbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,70mV,250kbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,70mV,250kbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Through Hole,14-DIP (0.300"   7.62mm),14-PDIP
Transceiver,RS422   RS485,1/1,Full,70mV,250kbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Transceiver,RS422   RS485,1/1,Full,70mV,2.5Mbps,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,8-TSSOP   8-MSOP (0.118"   3.00mm Width),8-uMAX
Transceiver,RS422   RS485,1/1,Full,70mV,2.5Mbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,70mV,2.5Mbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,70mV,2.5Mbps,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Receiver,LVDS,0/2,-,-,500Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,SOT-23-8,SOT-23-8
Receiver,-,0/3,-,-,-,4.94 V ~ 5.46 V,0°C ~ 75°C,Surface Mount,16-SOIC (0.209"   5.30mm Width),16-SOEIAJ
Driver,RS232,4/0,-,-,-,±15V,0°C ~ 75°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Driver,RS232,4/0,-,-,-,±15V,0°C ~ 75°C,Surface Mount,14-SOIC (0.209"   5.30mm Width),SOEIAJ-14
Receiver,RS422   RS423,0/4,-,-,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Receiver,RS422   RS423,0/4,-,-,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Driver,RS422   RS485,4/0,-,-,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Driver,RS422   RS485,4/0,-,-,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Transceiver,RS422   RS485,1/1,Half,50mV,-,4.75 V ~ 5.25 V,-40°C ~ 105°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,60mV,35Mbd,4.75 V ~ 5.25 V,-25°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,60mV,35Mbd,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,2/2,Full,60mV,-,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.209"   5.30mm Width),16-SO
Transceiver,RS232,1/1,Full,500mV,1Mbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Transceiver,RS422   RS485,1/1,Half,35mV,-,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,35mV,32Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,40mV,40Mbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,50mV,1Mbps,3.15 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,130mV,5Mbps,4.5 V ~ 5.5 V,-55°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,30mV,200kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,50mV,5Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Transceiver,RS422   RS485,1/1,Half,80mV,250kbps,3 V ~ 3.6 V,-40°C ~ 125°C,Surface Mount,8-VDFN Exposed Pad,8-SON (3x3)
Transceiver,RS422   RS485,1/1,Half,70mV,250kbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,70mV,250kbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Through Hole,8-DIP (0.300"   7.62mm),8-PDIP
Transceiver,LVDS,1/1,Half,-,400Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-TSSOP   8-MSOP (0.118"   3.00mm Width),8-VSSOP
Receiver,LVDS,0/4,-,50mV,560Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Receiver,LVDS,0/4,-,50mV,560Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Driver,LVDS,4/0,-,-,-,3 V ~ 3.6 V,-40°C ~ 125°C,Surface Mount,48-TFSOP (0.240"   6.10mm Width),48-TSSOP
Receiver,-,0/2,-,-,-,±4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Driver,-,2/0,-,-,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Receiver,-,0/2,-,-,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Receiver,-,0/2,-,-,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.209"   5.30mm Width),16-SO
Transceiver,RS422   RS485,1/1,Full,50mV,-,4.5 V ~ 5.5 V,-20°C ~ 85°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Transceiver,-,1/1,Full,-,-,4.5 V ~ 5.5 V,0°C ~ 70°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Receiver,RS232,0/4,-,3.3V,-,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Transceiver,IEEE 488,8/8,Half,650mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Transceiver,IEEE 488,8/8,Half,650mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Transceiver,RS232,1/1,Half,600mV,-,4.5 V ~ 15 V,-20°C ~ 70°C,Surface Mount,8-SOIC (0.209"   5.30mm Width),8-SO
Transceiver,RS232,1/1,Half,600mV,-,4.5 V ~ 15 V,-20°C ~ 70°C,Surface Mount,8-SOIC (0.209"   5.30mm Width),8-SO
Receiver,RS422   RS423   RS485,0/4,-,50mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Receiver,RS422   RS423   RS485,0/4,-,50mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Receiver,RS422   RS423   RS485,0/4,-,50mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Receiver,RS422   RS423   RS485,0/4,-,50mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Transceiver,RS422   RS485,1/1,Full,50mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,50mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,8-SOIC (0.209"   5.30mm Width),8-SO
Driver,-,2/0,-,-,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,14-SOIC (0.209"   5.30mm Width),14-SOP
Driver,RS232,4/0,-,-,-,±7.5 V ~ 15 V,0°C ~ 70°C,Through Hole,14-DIP (0.300"   7.62mm),14-PDIP
Receiver,RS422   RS423   RS485,0/4,-,50mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.209"   5.30mm Width),16-SO
Receiver,RS422   RS423   RS485,0/4,-,50mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.209"   5.30mm Width),16-SO
Transceiver,RS422   RS485,1/1,Half,60mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,60mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Through Hole,14-DIP (0.300"   7.62mm),14-PDIP
Driver,RS422   RS485,4/0,-,-,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.209"   5.30mm Width),16-SO
Driver,RS422   RS485,4/0,-,-,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Transceiver,RS422   RS485,2/2,Full,60mV,-,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.209"   5.30mm Width),16-SO
Transceiver,RS232,3/3,Full,1V,-,4.5 V ~ 15 V,0°C ~ 70°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Driver,RS232,4/0,-,-,-,±4.5 V ~ 15 V,0°C ~ 70°C,Through Hole,14-DIP (0.300"   7.62mm),14-PDIP
Receiver,RS232,0/4,-,970mV,-,4.5 V ~ 6 V,0°C ~ 70°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Transceiver,RS422   RS485,1/1,Half,50mV,30Mbps,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,45mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Transceiver,RS232,3/5,Full,500mV,120Kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,28-SSOP (0.209"   5.30mm Width),28-SSOP
